Title,Artist,Genres,Tags,Url
Rock Your Body,Justin Timberlake,Dance,Wedding,
Rude,MAGIC!,Pop,Wedding,
Rude Boy ,Rihanna,Pop,Wedding,
Run It!,Chris Brown & Juelz Santana,R&B,Wedding,
Runaway,Jamiroquai,Alternative,Wedding,
Saturday Night Fever,Bee Gees,,Wedding,
Say You Won't Let Go,James Arthur,,Wedding,
Sea of Love,Cat Power,,Wedding,
Señorita,Justin Timberlake,Pop,Wedding,
September,Earth Wind & Fire,,Wedding,https://www.youtube.com/watch?v=Gs069dndIYk
Sexy And I Know It,LMFAO,,Wedding,
SexyBack,Justin Timberlake,R&B,Wedding,
Shake It Off,Taylor Swift,,Wedding,https://www.youtube.com/watch?v=nfWlot6h_JM
Shake Your Booty,KC & The Sunshine Band,,Wedding,
Shout,Otis Day and the Knights,,Wedding,https://www.youtube.com/watch?v=MG7KCOO76Wc
Show Me (feat. Chris Brown),Kid Ink,Hip-Hop/Rap,Wedding,
Show Me Love,Robin S.,,Wedding,
Shut up and Dance,Walk The Moon,,Wedding,
Shutterbug Feat. Cutty,Big Boi,,Wedding,
Signed Sealed Delivered (I'm Yours) ,Stevie Wonder,,Wedding,https://www.youtube.com/watch?v=cBDqgSOwxkc
Signs,Snoop Dogg Ft. Justin Timberlake,Hip-Hop,Wedding,
Sing Hallelujah!,Dr. Alban,Dance,Wedding,
Sing it back,Moloko,Other,Wedding,
Single Ladies (Put A Ring On It),Beyoncé,Pop,Wedding,
Sir Duke,Stevie Wonder,,Wedding,
Smooth Criminal,Michael Jackson,Pop,Wedding,
So in Love,Curtis Mayfield,,Wedding,
Somewhere Over the Rainbow,Israel Kamakawiwoʻole,,Wedding,
Song of Songs,Rory Cooney,,Wedding,
Sons and Daughters,Allman Brown,,Wedding,
SOS,Rihanna,Pop,Wedding,
Speechless,Dan + Shay,,Wedding,
Spend My Life With You,Tamia & Eric Benet,,Wedding,
Stand By Me,Ben E. King,,Wedding,https://www.youtube.com/watch?v=hwZNL7QVJjE
Starry Eyed (Radio Edit),Ellie Goulding,Pop,Wedding,
Stay,Rihanna Mikky Ekko,,Wedding,
Stay with Me,Sam Smith,,Wedding,https://www.youtube.com/watch?v=pB-5XG-DbAA
Stayin' Alive ,Bee Gees,,Wedding,https://www.youtube.com/watch?v=I_izvAbhExY
Sugar,Maroon 5,,Wedding,
Sugar,Flo Rida ft. Wynter,,Wedding,
Sugar Sugar,The Archies,,Wedding,https://www.youtube.com/watch?v=h9nE2spOw_o
Suit & Tie (feat. JAY Z),Justin Timberlake,Pop,Wedding,
Superstition,Stevie Wonder,,Wedding,
Sweet Caroline,Neil Diamond,,Wedding,
Sweet Child O' Mine,Guns N' Roses,,Wedding,https://www.youtube.com/watch?v=1w7OgIMMRc4
Sweet Home Alabama,Lynyrd Skynyrd,,Wedding,https://www.youtube.com/watch?v=5MhOZt5-Jl8
Sweetest Thing,Allman Brown,,Wedding,
Sweetest Thing,U2,,Wedding,
Tainted Love,Soft Cell,Pop,Wedding,
Take Back The Night,Justin Timberlake,Pop,Wedding,
